Tipo de Armação;Hcg;H1;H2;H3;L1;L2;L3;Fh;Fv;Tipo;Peso;
GR4;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR5;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR6;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR7;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR8;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR9;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GS1;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS10;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS11;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS12;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS13;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS14;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS2;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS3;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS4;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS5;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS6;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS7;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS8;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS9;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
P1000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;333;200;S;116;
P1000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;333;200;S;119;
P1000/G3;1,50;0,00;-1,25;-2,50;2,20;-2,20;2,20;333;200;S;194;
P1000/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;333;200;S;44;
P1000/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;333;200;S;49;
P1000/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;333;200;S;51;
P12000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;2000;700;D;237;
P12000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;2000;700;D;237;
P12000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;2000;700;D;537;
P12000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;4000;700;S;159;
P12000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;4000;700;S;159;
P12000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;4000;700;S;354;
P1500/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;500;200;S;96;
P1500/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;500;200;S;96;
P1500/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;500;200;S;176;
P1500/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;500;200;S;34;
P1500/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;500;200;S;37;
P1500/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;500;200;S;42;
P15000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;2500;700;D;240;
P15000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;2500;700;D;240;
P15000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;2500;700;D;558;
P15000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;5000;700;S;159;
P15000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;5000;700;S;159;
P15000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;5000;700;S;372;
P2000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;333;700;D;200;
P2000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;333;700;D;200;
P2000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;333;700;D;468;
P2000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;667;700;S;114;
P2000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;667;700;S;114;
P2000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;667;700;S;272;
P2000/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;667;700;S;34;
P2000/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;667;700;S;37;
P2000/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;667;700;S;50;
P3000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;500;700;D;200;
P3000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;500;700;D;200;
P3000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;500;700;D;468;
P3000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;1000;700;S;123;
P3000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;1000;700;S;123;
P3000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;1000;700;S;272;
P3000/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;1000;700;S;55;
P3000/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;1000;700;S;58;
P3000/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;1000;700;S;71;
P4000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;667;700;D;222;
P4000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;667;700;D;222;
P4000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;667;700;D;423;
P4000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;1333;700;S;129;
P4000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;1333;700;S;129;
P4000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;1333;700;S;281;
P500/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;167;200;S;28;
P500/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;167;200;S;31;
P500/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;167;200;S;37;
