Designação;Alt. Total;Alt. Fora Solo;Bet./Met.;Fz;Fxa;Fya;Fxb;Fyb;Peso;V.Esc;B.Normal;B.Moldado;B.Ciclopico;
K12-90/40-24;24,0;21,0;B;4000;4000;9000;7981;3547;12980;35,71;0,00;0,00;32,14;
K12-90/40-26;26,0;23,0;B;4000;4000;9000;7981;3547;14710;43,32;0,00;0,00;38,99;
K12-90/40-28;28,0;25,0;B;4000;4000;9000;7981;3547;16570;43,32;0,00;0,00;38,99;
K12-90/40-30;30,0;27,0;B;4000;4000;9000;7981;3547;18440;48,00;0,00;0,00;43,20;
K12-90/40-32;32,0;29,0;B;4000;4000;9000;7981;3547;20390;48,00;0,00;0,00;43,20;
K14-110/45-14;14,0;11,0;B;4000;4500;11000;9768;3996;6730;32,67;0,00;0,00;29,40;
K14-110/45-16;16,0;13,0;B;4000;4500;11000;9768;3996;8040;32,67;0,00;0,00;29,40;
K14-110/45-18;18,0;15,0;B;4000;4500;11000;9768;3996;9440;32,67;0,00;0,00;29,40;
K14-110/45-20;20,0;16,5;B;4000;4500;11000;9768;3996;11000;34,07;0,00;0,00;30,66;
K14-110/45-22;22,0;18,5;B;4000;4500;11000;9768;3996;12660;34,07;0,00;0,00;30,66;
K14-110/45-24;24,0;20,5;B;4000;4500;11000;9768;3996;14420;34,07;0,00;0,00;30,66;
K14-110/45-26;26,0;22,5;B;4000;4500;11000;9768;3996;16270;40,46;0,00;0,00;36,41;
K14-110/45-28;28,0;24,5;B;4000;4500;11000;9768;3996;18160;40,46;0,00;0,00;36,41;
K14-110/45-30;30,0;26,5;B;4000;4500;11000;9768;3996;20100;56,00;0,00;0,00;50,40;
K14-110/45-32;32,0;28,5;B;4000;4500;11000;9768;3996;22150;56,00;0,00;0,00;50,40;
K14-110/45-34;34,0;31,0;B;4000;4500;11000;9768;3996;24300;56,00;0,00;0,00;50,40;
K16-125/50-14;14,0;11,0;B;4000;5100;12500;11170;4557;7600;36,75;0,00;0,00;33,08;
K16-125/50-16;16,0;13,0;B;4000;5100;12500;11170;4557;9020;36,75;0,00;0,00;33,08;
K16-125/50-18;18,0;15,0;B;4000;5100;12500;11170;4557;10570;36,75;0,00;0,00;33,08;
K16-125/50-20;20,0;16,5;B;4000;5100;12500;11170;4557;12230;40,46;0,00;0,00;36,41;
K16-125/50-22;22,0;18,5;B;4000;5100;12500;11170;4557;13990;40,46;0,00;0,00;36,41;
K16-125/50-24;24,0;20,5;B;4000;5100;12500;11170;4557;15860;40,46;0,00;0,00;36,41;
K16-125/50-26;26,0;22,5;B;4000;5100;12500;11170;4557;17740;47,92;0,00;0,00;43,12;
K16-125/50-28;28,0;24,5;B;4000;5100;12500;11170;4557;19710;47,92;0,00;0,00;43,12;
K16-125/50-30;30,0;26,5;B;4000;5100;12500;11170;4557;21780;56,00;0,00;0,00;50,40;
K16-125/50-32;32,0;28,5;B;4000;5100;12500;11170;4557;23960;56,00;0,00;0,00;50,40;
K18-145/57-14;14,0;10,5;B;4000;5700;14500;13005;5112;8570;33,64;0,00;0,00;30,27;
K18-145/57-16;16,0;12,5;B;4000;5700;14500;13005;5112;10120;33,64;0,00;0,00;30,27;
K18-145/57-18;18,0;14,5;B;4000;5700;14500;13005;5112;11800;33,64;0,00;0,00;30,27;
K18-145/57-20;20,0;16,5;B;4000;5700;14500;13005;5112;13560;47,92;0,00;0,00;43,12;
K18-145/57-22;22,0;18,5;B;4000;5700;14500;13005;5112;15440;47,92;0,00;0,00;43,12;
K18-145/57-24;24,0;20,5;B;4000;5700;14500;13005;5112;17330;47,92;0,00;0,00;43,12;
K18-145/57-26;26,0;22,5;B;4000;5700;14500;13005;5112;19320;56,00;0,00;0,00;50,40;
K18-145/57-28;28,0;24,5;B;4000;5700;14500;13005;5112;21400;56,00;0,00;0,00;50,40;
K18-145/57-30;30,0;26,5;B;4000;5700;14500;13005;5112;23570;67,76;0,00;0,00;60,98;
K18-145/57-32;32,0;28,5;B;4000;5700;14500;13005;5112;25850;67,76;0,00;0,00;60,98;
K20-165/63-14;14,0;10,5;B;4000;6300;16500;14845;5668;9660;40,46;0,00;0,00;36,41;
K20-165/63-16;16,0;12,5;B;4000;6300;16500;14845;5668;11320;40,46;0,00;0,00;36,41;
K20-165/63-18;18,0;14,5;B;4000;6300;16500;14845;5668;13110;40,46;0,00;0,00;36,41;
K20-165/63-20;20,0;16,5;B;4000;6300;16500;14845;5668;14990;56,00;0,00;0,00;50,40;
K20-165/63-22;22,0;18,5;B;4000;6300;16500;14845;5668;16900;56,00;0,00;0,00;50,40;
K20-165/63-24;24,0;20,5;B;4000;6300;16500;14845;5668;18900;56,00;0,00;0,00;50,40;
K20-165/63-26;26,0;22,5;B;4000;6300;16500;14845;5668;20990;67,76;0,00;0,00;60,98;
K20-165/63-28;28,0;24,5;B;4000;6300;16500;14845;5668;23180;67,76;0,00;0,00;60,98;
K20-165/63-30;30,0;26,5;B;4000;6300;16500;14845;5668;25450;77,32;0,00;0,00;69,58;
K20-165/63-32;32,0;28,5;B;4000;6300;16500;14845;5668;27840;77,32;0,00;0,00;69,58;
MM04-2250/740-14;14,0;11,5;B;4000;1000;2250;1775;789;3010;5,63;0,00;0,00;5,06;
MM04-2250/740-16;16,0;13,5;B;4000;1000;2250;1674;744;3760;5,63;0,00;0,00;5,06;
MM04-2250/740-18;18,0;15,5;B;4000;1000;2250;1565;695;4620;5,63;0,00;0,00;5,06;
MM04-2250/740-20;20,0;17,5;B;4000;1000;2250;1149;644;5560;9,03;0,00;0,00;8,12;
MM04-2250/740-22;22,0;19,5;B;4000;1000;2250;1327;590;6590;9,03;0,00;0,00;8,12;
MM04-2250/740-24;24,0;21,5;B;4000;1000;2250;1198;532;7700;9,03;0,00;0,00;8,12;
MM04-2250/740-26;26,0;23,5;B;4000;1000;2250;1062;472;8890;11,03;0,00;0,00;9,92;
MM04-2250/740-28;28,0;25,5;B;4000;1000;2250;919;408;10180;11,03;0,00;0,00;9,92;
MM06-2750/960-14;14,0;11,5;B;4000;1300;2750;2256;1066;3540;8,10;0,00;0,00;7,29;
MM06-2750/960-16;16,0;13,5;B;4000;1300;2750;2153;1018;4400;8,10;0,00;0,00;7,29;
MM06-2750/960-18;18,0;15,5;B;4000;1300;2750;2043;966;5350;8,10;0,00;0,00;7,29;
